_id,bio,college,country,createdAt,dob,email,face_detection_probabilities,gender,height,insta_username,interests,is_habit_drink,is_habit_smoke,is_verified,mobile,name,status,type,updatedAt,verified_at,what_to_find,who_to_date,is_subscribed,age
0,I am very honest and caring person,"[""Jawaharlal Nehru University""]",IN,609.7012535519444,2002-07-16 00:00:00,9000000000@get.idyll,[90.7028079032898],M,175.0,,"[""Art & Craft"",""Bollywood"",""Comedy"",""Design"",""Badminton""]",N,N,True,9000000000,Prakhar Sharma,True,U,10.130717826157408,10.130767653900463,C,F,True,21.0
1,Let's go on a date.,"[""Heritage ""]",IN,609.3519629963889,1999-02-26 00:00:00,9100000000@get.idyll,[],M,177.0,,"[""Singing"",""Writing"",""Dancing"",""Mountains"",""Biryani""]",N,N,True,9100000000,Amit,True,U,10.873360534490741,10.877644760381944,C,F,True,24.0
2,Loving life,"[""Jawaharlal Nehru University""]",IN,609.1314677186111,2001-01-08 00:00:00,9200000000@get.idyll,[88.67224454879761],F,175.0,,"[""Badminton"",""Design"",""Writing"",""Open-Minded"",""Coffee""]",N,N,True,9200000000,Ritz,True,U,18.188996101620372,,R,M,True,22.0
3,"Jai Maharashtra
🥲Bharat Mata ki Jay.....
Inquilab zindabad ","[""Jawaharlal Nehru University""]",IN,609.0118557741666,2000-08-20 00:00:00,9300000000@get.idyll,"[90.63367247581482,70.43942511081696,96.18995189666748,95.02163529396057]",M,177.0,,"[""Singing"",""Cricket"",""Concerts"",""Vegetarian"",""Tea""]",N,N,True,9300000000,Devesh Shukla ,True,U,5.7758180576388884,,R,F,True,23.0
4,🙄,"[""Jawaharlal Nehru University""]",IN,608.0021977186111,2000-07-31 00:00:00,9400000000@get.idyll,,M,178.0,,"[""Football"",""Gym"",""Biryani"",""Sci-fi"",""Cricket""]",N,N,False,9400000000,Aditya bhadoriya ,True,U,25.330613532175924,,NS,A,,23.0
5,,[],IN,607.5825391075,,9500000000@get.idyll,,,,,[],,,False,9500000000,,False,U,5.724701726620371,10.89215892704861,,,,
6,"I am what I am, you get what you see..unless you are a fake.

Simple but complex.

Strong yet vulnerable.

Connected whilst independent.

Easy going. Until I’m not.","[""Delhi College Of Engineering""]",IN,607.5650779963889,2001-12-11 00:00:00,9600000000@get.idyll,,M,175.0,,"[""Design"",""Art & Craft"",""Badminton"",""Cricket"",""Photography""]",N,N,False,9600000000,Ankit,True,U,25.30328639097222,,NS,F,True,22.0
7,"Joyfull, Fun loving guy","[""Jawaharlal Nehru University""]",IN,607.515745496389,2002-02-16 00:00:00,9700000000@get.idyll,"[95.65495252609253,91.10906720161438,97.78301119804382]",M,165.0,,"[""Camping"",""Beer"",""Beaches"",""Mountains"",""Foodie""]",S,S,True,9700000000,Kushal Poddar,True,U,5.775821286805556,9.33283332519676,NS,F,True,21.0
8,"Well, the person right here is kinda sociopath.","[""Jawaharlal Nehru University ""]",IN,606.9508185519444,2000-03-31 00:00:00,9800000000@get.idyll,,M,187.0,,"[""Boxing"",""Cycling"",""Gym"",""Backpacking"",""Coffee""]",S,S,True,9800000000,Nirmal Shankar ,True,U,17.033248740509258,17.033249170104167,C,F,True,23.0
9,Rnd,"[""Jnu""]",IN,606.6924429963889,2004-08-30 00:00:00,9900000000@get.idyll,[98.3376681804657],M,176.0,,[],N,N,True,9900000000,Rishik ,True,U,18.91985436550926,,C,F,True,19.0
10,"🙂🙃🙂🙃🙂🙃🙂🙃🙂🙃
,❤️kisi ko chahiye toh most welcome 😝","[""Jawaharlal Nehru University""]",IN,606.5795121630556,2001-02-03 00:00:00,9100000000@get.idyll,[],M,5.6,,"[""Writing"",""Photography"",""Gym"",""Festivals"",""Vegetarian""]",N,N,False,9100000000,Niraj Kumar ,True,U,23.070610858564816,,F,F,True,22.0
11,🙂,"[""JNU""]",IN,606.1001288297222,2000-07-18 00:00:00,9110000000@get.idyll,[40.39326310157776],F,156.0,,"[""Documentaries"",""Horror"",""Cycling"",""Mountains"",""Coffee""]",S,S,True,9110000000,Maya,True,U,10.80240518726852,,CON,M,True,23.0
12,,[],IN,605.6297899408333,,9120000000@get.idyll,[],M,,,[],,,False,9120000000,Aayush Kashyap,False,U,5.724280939583333,,,,,
13,Yoyoyotot,"[""Chandigarh ""]",IN,605.5373154963889,2000-02-25 00:00:00,9130000000@get.idyll,,M,171.0,,"[""Badminton"",""Photography"",""Dancing"",""Art & Craft"",""Writing""]",S,N,False,9130000000,Mayank Virmani,True,U,22.369899342361112,,C,F,True,23.0
14,"I'm a 20 year old engineering student in Computer Science, with a passion for fitness and singing. I'm always looking to meet new people and explore new opportunities.","[""Heritage Institute of Technology ""]",IN,604.8832618852778,2002-03-17 00:00:00,9140000000@get.idyll,,M,188.0,,"[""Singing"",""Horror"",""Comedy"",""Gym"",""Swimming""]",S,N,True,9140000000,Sayantan,True,U,17.033248740509258,17.033249170104167,F,F,True,21.0
